,Power_kW,temp_C,HR,windSpeed_m/s,windGust_m/s,pres_mbar,solarRad_W/m2,rain_mm/h,rain_day,holiday,weekend,hour,day,month,Power_kW_-1_day
2017-01-01 00:00:00,100.8100005,8.72,74.6,2.138,3.774,1029.0,1.163,0.0,0.0,1,1,0,1,1,0.0
2017-01-01 01:00:00,99.0541345,8.49,75.0,2.3358333333333334,3.2288333333333337,1029.0,1.3712499999999999,0.0,0.0,1,1,1,1,1,0.0
2017-01-01 02:00:00,98.539567,7.8775,76.65833333333333,2.7762499999999997,3.50125,1028.0833333333333,1.58125,0.0,0.0,1,1,2,1,1,0.0
2017-01-01 03:00:00,101.4357845,7.212416666666666,80.44166666666666,3.3840833333333333,4.1930000000000005,1028.0,1.3180833333333333,0.0,0.0,1,1,3,1,1,0.0
2017-01-01 04:00:00,98.4816645,6.817083333333333,81.3,3.4906666666666664,4.360666666666667,1028.0,1.56975,0.0,0.0,1,1,4,1,1,0.0
2017-01-01 05:00:00,97.805844,6.44725,81.31666666666666,4.1475,5.492583333333333,1028.0,0.7755833333333334,0.0,0.0,1,1,5,1,1,0.0
2017-01-01 06:00:00,94.4647605,5.976500000000001,80.90833333333333,4.523166666666667,6.03775,1027.9166666666667,1.4265833333333333,0.0,0.0,1,1,6,1,1,0.0
2017-01-01 07:00:00,94.983261,5.62275,80.44166666666666,3.8960833333333333,5.241583333333334,1027.0,1.0041666666666667,0.0,0.0,1,1,7,1,1,0.0
2017-01-01 08:00:00,104.62217,5.46625,80.2,3.064416666666667,4.4655,1027.0,1.7525000000000002,0.0,0.0,1,1,8,1,1,0.0
2017-01-01 09:00:00,101.36215,5.4119166666666665,80.35833333333333,3.5098333333333334,4.486166666666667,1027.0,32.39666666666667,0.0,0.0,1,1,9,1,1,0.0
2017-01-01 10:00:00,104.6009755,5.498333333333334,80.08333333333333,4.6785000000000005,5.848416666666666,1027.0,87.96166666666666,0.0,0.0,1,1,10,1,1,0.0
2017-01-01 11:00:00,106.95575,6.065666666666666,78.61666666666666,3.8471666666666664,5.220083333333333,1027.0,191.38333333333333,0.0,0.0,1,1,11,1,1,0.0
2017-01-01 12:00:00,104.9514495,6.969416666666667,76.01666666666667,2.4651666666666667,3.270583333333333,1026.0833333333333,246.75833333333333,0.0,0.0,1,1,12,1,1,0.0
2017-01-01 13:00:00,104.791726,7.607500000000001,75.39999999999999,2.002083333333333,2.704416666666667,1025.0,262.325,0.0,0.0,1,1,13,1,1,0.0
2017-01-01 14:00:00,107.381825,8.851666666666667,72.36583333333333,1.5374999999999999,2.18025,1023.5833333333334,201.74166666666667,0.0,0.0,1,1,14,1,1,0.0
2017-01-01 15:00:00,103.988083,9.8775,69.81916666666666,1.0586666666666666,1.6980833333333332,1023.0,142.98333333333332,0.0,0.0,1,1,15,1,1,0.0
2017-01-01 16:00:00,105.216053,9.709166666666667,71.6475,1.8310000000000002,2.26425,1022.1666666666666,118.34166666666665,0.0,0.0,1,1,16,1,1,0.0
2017-01-01 17:00:00,107.87345,9.4825,74.03333333333333,1.51475,1.9706666666666666,1022.0,52.0925,0.0,0.0,1,1,17,1,1,0.0
2017-01-01 18:00:00,105.297772,8.94,76.48333333333333,2.500083333333333,3.0399999999999996,1022.0,3.9741666666666666,0.0,0.0,1,1,18,1,1,0.0
